dataset,data_type,size,resolution_scale,average_fps,low10_fps,low1_fps,std_dev,Mrps,average_jumps,internal_nodes,memory_usage,dimensionality
teapot,octree,64,0.20,48.10,33.00,33.00,23.98,1.24,6.61,2303,842792.00,2.21
teapot,octree,128,0.20,41.90,30.00,30.00,24.25,0.98,7.21,10137,3796600.00,2.20
teapot,octree,256,0.20,32.70,27.00,27.00,9.23,0.69,7.65,50945,22018408.00,2.25
teapot,octree,512,0.20,36.00,26.00,26.00,22.05,0.24,7.95,323796,172697120.00,2.34
teapot,octree,1024,0.20,31.10,21.00,21.00,18.05,0.04,8.38,2320298,1416150272.00,2.42
dragon,octree,64,0.20,46.30,33.00,33.00,8.27,1.09,4.93,3186,1179392.00,2.27
dragon,octree,128,0.20,40.30,32.00,32.00,7.31,0.82,5.60,13456,4872048.00,2.24
dragon,octree,256,0.20,33.90,26.00,26.00,5.77,0.54,6.13,59255,22530832.00,2.24
dragon,octree,512,0.20,31.20,25.00,25.00,4.31,0.25,6.60,279375,118502224.00,2.26
dragon,octree,1024,0.20,27.50,21.00,21.00,4.34,0.07,7.03,1464558,714208832.00,2.30
bunny,octree,64,0.20,39.20,31.00,31.00,7.87,1.20,5.72,4488,1612088.00,2.34
bunny,octree,128,0.20,32.10,28.00,28.00,4.06,0.88,6.62,19275,7104080.00,2.31
bunny,octree,256,0.20,27.70,24.00,24.00,2.87,0.49,7.34,97345,42460544.00,2.35
bunny,octree,512,0.20,22.80,18.00,18.00,3.46,0.15,8.23,590720,310990432.00,2.41
bunny,octree,1024,0.20,21.00,17.00,17.00,2.32,0.02,8.56,4045807,2425100032.00,2.48
crab,octree,64,0.20,25.80,22.00,22.00,3.82,0.44,10.41,2762,1061032.00,2.25
crab,octree,128,0.20,20.70,18.00,18.00,2.69,0.32,11.87,12191,4515912.00,2.23
crab,octree,256,0.20,18.00,15.00,15.00,2.10,0.21,12.90,53316,20150872.00,2.22
crab,octree,512,0.20,16.80,13.00,13.00,2.68,0.11,13.86,246325,101320136.00,2.24
crab,octree,1024,0.20,14.20,11.00,11.00,2.86,0.03,15.31,1243397,579476416.00,2.27
city,octree,64,0.20,44.10,21.00,21.00,24.64,1.04,5.17,6682,2653040.00,2.45
city,octree,128,0.20,26.60,19.00,19.00,7.13,0.68,6.73,30151,11050000.00,2.40
city,octree,256,0.20,23.90,13.00,13.00,9.73,0.39,8.58,126693,45573544.00,2.36
city,octree,512,0.20,18.10,12.00,12.00,4.57,0.16,10.26,527287,195131744.00,2.33
city,octree,1024,0.20,17.60,10.00,10.00,10.54,0.04,11.42,2239478,858129728.00,2.32
horse,octree,64,0.20,49.10,39.00,39.00,11.83,1.23,5.26,2275,822112.00,2.24
horse,octree,128,0.20,42.40,27.00,27.00,12.81,0.98,5.78,9448,3413448.00,2.22
horse,octree,256,0.20,37.20,29.00,29.00,8.23,0.72,6.32,42450,16654984.00,2.23
horse,octree,512,0.20,32.80,28.00,28.00,8.16,0.36,6.73,215447,98180120.00,2.27
horse,octree,1024,0.20,28.50,23.00,23.00,4.08,0.08,7.16,1245465,661320576.00,2.33
cube,octree,64,0.20,45.80,31.00,31.00,18.60,0.52,3.66,24777,15153704.00,2.87
cube,octree,128,0.20,32.60,22.00,22.00,9.77,0.26,4.81,172295,82365640.00,2.81
cube,octree,256,0.20,27.50,20.00,20.00,6.25,0.09,6.12,936985,370413664.00,2.73
cube,octree,512,0.20,16.40,14.00,14.00,2.62,0.02,9.74,4212779,1540721408.00,2.67
cube,octree,1024,0.20,12.00,10.00,10.00,1.10,0.01,12.17,17515208,6272782848.00,2.62
